Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:11.146,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2344,0.3683,0.2129,0.0293"
urn:cts:greekLit:tlg0012.tlg001.e3:11.147,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2313,0.3892,0.2071,0.0202"
urn:cts:greekLit:tlg0012.tlg001.e3:11.148,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2347,0.4039,0.2181,0.0229"
urn:cts:greekLit:tlg0012.tlg001.e3:11.149,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2336,0.4193,0.2144,0.0253"
urn:cts:greekLit:tlg0012.tlg001.e3:11.150,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2326,0.4371,0.2089,0.0253"
urn:cts:greekLit:tlg0012.tlg001.e3:11.151,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2331,0.4529,0.1936,0.0253"
urn:cts:greekLit:tlg0012.tlg001.e3:11.152,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2334,0.4695,0.2121,0.0253"
urn:cts:greekLit:tlg0012.tlg001.e3:11.153,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2339,0.4896,0.2121,0.0237"
urn:cts:greekLit:tlg0012.tlg001.e3:11.154,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2334,0.5043,0.2047,0.0249"
urn:cts:greekLit:tlg0012.tlg001.e3:11.155,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2242,0.5197,0.2187,0.0281"
urn:cts:greekLit:tlg0012.tlg001.e3:11.156,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2315,0.5371,0.2187,0.0281"
urn:cts:greekLit:tlg0012.tlg001.e3:11.157,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2336,0.5529,0.216,0.0265"
urn:cts:greekLit:tlg0012.tlg001.e3:11.158,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2281,0.5719,0.2176,0.0229"
urn:cts:greekLit:tlg0012.tlg001.e3:11.159,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2328,0.5889,0.2158,0.0229"
urn:cts:greekLit:tlg0012.tlg001.e3:11.160,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2331,0.6015,0.2263,0.0289"
urn:cts:greekLit:tlg0012.tlg001.e3:11.161,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2305,0.6221,0.2113,0.0221"
urn:cts:greekLit:tlg0012.tlg001.e3:11.162,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2336,0.6367,0.2068,0.0249"
urn:cts:greekLit:tlg0012.tlg001.e3:11.163,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2326,0.6521,0.2173,0.0249"
urn:cts:greekLit:tlg0012.tlg001.e3:11.164,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2336,0.666,0.2173,0.0269"
urn:cts:greekLit:tlg0012.tlg001.e3:11.165,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2326,0.6845,0.2123,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.166,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2323,0.7027,0.2084,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.167,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4908,0.3224,0.1899,0.0287"
urn:cts:greekLit:tlg0012.tlg001.e3:11.168,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.491,0.3399,0.2014,0.0311"
urn:cts:greekLit:tlg0012.tlg001.e3:11.169,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4905,0.3618,0.2176,0.0247"
urn:cts:greekLit:tlg0012.tlg001.e3:11.170,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4836,0.3789,0.2176,0.0263"
urn:cts:greekLit:tlg0012.tlg001.e3:11.171,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4903,0.3965,0.2176,0.0243"
urn:cts:greekLit:tlg0012.tlg001.e3:11.172,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4897,0.4124,0.2075,0.0243"
urn:cts:greekLit:tlg0012.tlg001.e3:11.173,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.49,0.4311,0.2075,0.0243"
urn:cts:greekLit:tlg0012.tlg001.e3:11.174,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4905,0.4467,0.2125,0.0267"
urn:cts:greekLit:tlg0012.tlg001.e3:11.175,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.49,0.4626,0.2125,0.0287"
urn:cts:greekLit:tlg0012.tlg001.e3:11.176,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4885,0.4825,0.2368,0.0243"
urn:cts:greekLit:tlg0012.tlg001.e3:11.177,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.489,0.4986,0.219,0.0243"
urn:cts:greekLit:tlg0012.tlg001.e3:11.178,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4888,0.515,0.21,0.023"
urn:cts:greekLit:tlg0012.tlg001.e3:11.179,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4871,0.5335,0.21,0.023"
urn:cts:greekLit:tlg0012.tlg001.e3:11.180,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4882,0.5504,0.21,0.023"
