URN, Image Reference
urn:cts:greekLit:tlg0012.tlg001.msA:11.80, "urn:cite:hmt:vaimg.VA139RN-0311@0.1804,0.303,0.4218,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.81, "urn:cite:hmt:vaimg.VA139RN-0311@0.1784,0.3195,0.4158,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:11.82, "urn:cite:hmt:vaimg.VA139RN-0311@0.1794,0.3376,0.4058,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.83, "urn:cite:hmt:vaimg.VA139RN-0311@0.1784,0.3594,0.4118,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:11.84, "urn:cite:hmt:vaimg.VA139RN-0311@0.1693,0.3767,0.3858,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:11.85, "urn:cite:hmt:vaimg.VA139RN-0311@0.1764,0.3992,0.4369,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.86, "urn:cite:hmt:vaimg.VA139RN-0311@0.1754,0.415,0.4008,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.87, "urn:cite:hmt:vaimg.VA139RN-0311@0.1754,0.4323,0.4198,0.0286"
urn:cts:greekLit:tlg0012.tlg001.msA:11.88, "urn:cite:hmt:vaimg.VA139RN-0311@0.1733,0.4519,0.4339,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.89, "urn:cite:hmt:vaimg.VA139RN-0311@0.1713,0.4692,0.4228,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.90, "urn:cite:hmt:vaimg.VA139RN-0311@0.1774,0.4895,0.3898,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.91, "urn:cite:hmt:vaimg.VA139RN-0311@0.1764,0.5113,0.4279,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.92, "urn:cite:hmt:vaimg.VA139RN-0311@0.1713,0.5308,0.4409,0.0241"
